Municipios;Sexo;Periodo;Total
28016 Atazar, El;Total;2015;96
28017 Batres;Total;2024;1.943
28017 Batres;Total;2023;1.872
28017 Batres;Total;2022;1.823
28017 Batres;Total;2021;1.820
28017 Batres;Total;2020;1.750
28017 Batres;Total;2019;1.684
28017 Batres;Total;2018;1.638
28017 Batres;Total;2017;1.610
28017 Batres;Total;2016;1.582
28017 Batres;Total;2015;1.568
28018 Becerril de la Sierra;Total;2024;6.573
28018 Becerril de la Sierra;Total;2023;6.277
28018 Becerril de la Sierra;Total;2022;6.197
28018 Becerril de la Sierra;Total;2021;6.108
28018 Becerril de la Sierra;Total;2020;5.875
28018 Becerril de la Sierra;Total;2019;5.714
28018 Becerril de la Sierra;Total;2018;5.564
28018 Becerril de la Sierra;Total;2017;5.457
28018 Becerril de la Sierra;Total;2016;5.439
28018 Becerril de la Sierra;Total;2015;5.396
28019 Belmonte de Tajo;Total;2024;1.917
28019 Belmonte de Tajo;Total;2023;1.840
28019 Belmonte de Tajo;Total;2022;1.769
28019 Belmonte de Tajo;Total;2021;1.751
28019 Belmonte de Tajo;Total;2020;1.683
28019 Belmonte de Tajo;Total;2019;1.664
28019 Belmonte de Tajo;Total;2018;1.627
28019 Belmonte de Tajo;Total;2017;1.628
28019 Belmonte de Tajo;Total;2016;1.605
28019 Belmonte de Tajo;Total;2015;1.625
28021 Berrueco, El;Total;2024;816
28021 Berrueco, El;Total;2023;802
28021 Berrueco, El;Total;2022;801
28021 Berrueco, El;Total;2021;796
28021 Berrueco, El;Total;2020;777
28021 Berrueco, El;Total;2019;760
28021 Berrueco, El;Total;2018;741
28021 Berrueco, El;Total;2017;743
28021 Berrueco, El;Total;2016;752
28021 Berrueco, El;Total;2015;618
28020 Berzosa del Lozoya;Total;2024;231
28020 Berzosa del Lozoya;Total;2023;217
28020 Berzosa del Lozoya;Total;2022;227
28020 Berzosa del Lozoya;Total;2021;216
28020 Berzosa del Lozoya;Total;2020;222
28020 Berzosa del Lozoya;Total;2019;205
28020 Berzosa del Lozoya;Total;2018;198
28020 Berzosa del Lozoya;Total;2017;203
28020 Berzosa del Lozoya;Total;2016;198
28020 Berzosa del Lozoya;Total;2015;202
28022 Boadilla del Monte;Total;2024;65.839
28022 Boadilla del Monte;Total;2023;64.742
28022 Boadilla del Monte;Total;2022;62.627
28022 Boadilla del Monte;Total;2021;59.052
28022 Boadilla del Monte;Total;2020;56.734
28022 Boadilla del Monte;Total;2019;54.570
28022 Boadilla del Monte;Total;2018;52.626
28022 Boadilla del Monte;Total;2017;51.463
28022 Boadilla del Monte;Total;2016;49.762
28022 Boadilla del Monte;Total;2015;48.775
28023 Boalo, El;Total;2024;8.547
28023 Boalo, El;Total;2023;8.424
28023 Boalo, El;Total;2022;8.216
28023 Boalo, El;Total;2021;8.009
28023 Boalo, El;Total;2020;7.663
28023 Boalo, El;Total;2019;7.508
28023 Boalo, El;Total;2018;7.399
28023 Boalo, El;Total;2017;7.358
28023 Boalo, El;Total;2016;7.225
28023 Boalo, El;Total;2015;7.157
28024 Braojos;Total;2024;219
28024 Braojos;Total;2023;212
28024 Braojos;Total;2022;218
28024 Braojos;Total;2021;218
28024 Braojos;Total;2020;206
28024 Braojos;Total;2019;205
28024 Braojos;Total;2018;205
28024 Braojos;Total;2017;208
28024 Braojos;Total;2016;201
28024 Braojos;Total;2015;203
28025 Brea de Tajo;Total;2024;579
28025 Brea de Tajo;Total;2023;543
28025 Brea de Tajo;Total;2022;541
28025 Brea de Tajo;Total;2021;523
28025 Brea de Tajo;Total;2020;506
28025 Brea de Tajo;Total;2019;524
28025 Brea de Tajo;Total;2018;525
28025 Brea de Tajo;Total;2017;539
28025 Brea de Tajo;Total;2016;560
28025 Brea de Tajo;Total;2015;560
28026 Brunete;Total;2024;11.300
28026 Brunete;Total;2023;11.014
28026 Brunete;Total;2022;10.845
28026 Brunete;Total;2021;10.726
28026 Brunete;Total;2020;10.760
28026 Brunete;Total;2019;10.736
28026 Brunete;Total;2018;10.596
28026 Brunete;Total;2017;10.373
28026 Brunete;Total;2016;10.374
28026 Brunete;Total;2015;10.398
28027 Buitrago del Lozoya;Total;2024;1.973
28027 Buitrago del Lozoya;Total;2023;1.967
28027 Buitrago del Lozoya;Total;2022;1.948
28027 Buitrago del Lozoya;Total;2021;1.940
28027 Buitrago del Lozoya;Total;2020;1.959
28027 Buitrago del Lozoya;Total;2019;1.884
28027 Buitrago del Lozoya;Total;2018;1.875
28027 Buitrago del Lozoya;Total;2017;1.854
28027 Buitrago del Lozoya;Total;2016;1.861
28027 Buitrago del Lozoya;Total;2015;1.865
28028 Bustarviejo;Total;2024;2.829
28028 Bustarviejo;Total;2023;2.743
28028 Bustarviejo;Total;2022;2.706
28028 Bustarviejo;Total;2021;2.701
28028 Bustarviejo;Total;2020;2.522
28028 Bustarviejo;Total;2019;2.503
28028 Bustarviejo;Total;2018;2.486
28028 Bustarviejo;Total;2017;2.399
28028 Bustarviejo;Total;2016;2.370
28028 Bustarviejo;Total;2015;2.367
28029 Cabanillas de la Sierra;Total;2024;941
28029 Cabanillas de la Sierra;Total;2023;939
28029 Cabanillas de la Sierra;Total;2022;874
28029 Cabanillas de la Sierra;Total;2021;837
28029 Cabanillas de la Sierra;Total;2020;785
28029 Cabanillas de la Sierra;Total;2019;756
28029 Cabanillas de la Sierra;Total;2018;712
28029 Cabanillas de la Sierra;Total;2017;712
28029 Cabanillas de la Sierra;Total;2016;719
28029 Cabanillas de la Sierra;Total;2015;733
28030 Cabrera, La;Total;2024;2.922
28030 Cabrera, La;Total;2023;2.882
28030 Cabrera, La;Total;2022;2.805
28030 Cabrera, La;Total;2021;2.782
28030 Cabrera, La;Total;2020;2.736
28030 Cabrera, La;Total;2019;2.667
28030 Cabrera, La;Total;2018;2.613
28030 Cabrera, La;Total;2017;2.570
28030 Cabrera, La;Total;2016;2.560
28030 Cabrera, La;Total;2015;2.574
28031 Cadalso de los Vidrios;Total;2024;3.228
28031 Cadalso de los Vidrios;Total;2023;3.173
28031 Cadalso de los Vidrios;Total;2022;3.193
28031 Cadalso de los Vidrios;Total;2021;3.203
28031 Cadalso de los Vidrios;Total;2020;3.047
28031 Cadalso de los Vidrios;Total;2019;3.039
28031 Cadalso de los Vidrios;Total;2018;3.049
28031 Cadalso de los Vidrios;Total;2017;3.053
28031 Cadalso de los Vidrios;Total;2016;2.788
28031 Cadalso de los Vidrios;Total;2015;2.767
28032 Camarma de Esteruelas;Total;2024;8.106
28032 Camarma de Esteruelas;Total;2023;7.792
28032 Camarma de Esteruelas;Total;2022;7.595
28032 Camarma de Esteruelas;Total;2021;7.555
28032 Camarma de Esteruelas;Total;2020;7.437
28032 Camarma de Esteruelas;Total;2019;7.336
28032 Camarma de Esteruelas;Total;2018;7.226
28032 Camarma de Esteruelas;Total;2017;7.084
28032 Camarma de Esteruelas;Total;2016;7.050
