Municipios de 500 habitantes o más;Sexo;Edad;Nivel de estudios;Periodo;Total
28023 Boalo, El;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.372
28023 Boalo, El;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.746
28023 Boalo, El;Total;15 y más años;Educación superior;2024;3.423
28025 Brea de Tajo;Total;15 y más años;Educación primaria e inferior;2024;121
28025 Brea de Tajo;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;201
28025 Brea de Tajo;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;109
28025 Brea de Tajo;Total;15 y más años;Educación superior;2024;92
28026 Brunete;Total;15 y más años;Educación primaria e inferior;2024;977
28026 Brunete;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;2.099
28026 Brunete;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;2.602
28026 Brunete;Total;15 y más años;Educación superior;2024;3.896
28027 Buitrago del Lozoya;Total;15 y más años;Educación primaria e inferior;2024;308
28027 Buitrago del Lozoya;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;431
28027 Buitrago del Lozoya;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;400
28027 Buitrago del Lozoya;Total;15 y más años;Educación superior;2024;542
28028 Bustarviejo;Total;15 y más años;Educación primaria e inferior;2024;249
28028 Bustarviejo;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;547
28028 Bustarviejo;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;533
28028 Bustarviejo;Total;15 y más años;Educación superior;2024;1.078
28029 Cabanillas de la Sierra;Total;15 y más años;Educación primaria e inferior;2024;75
28029 Cabanillas de la Sierra;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;158
28029 Cabanillas de la Sierra;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;213
28029 Cabanillas de la Sierra;Total;15 y más años;Educación superior;2024;366
28030 Cabrera, La;Total;15 y más años;Educación primaria e inferior;2024;332
28030 Cabrera, La;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;701
28030 Cabrera, La;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;616
28030 Cabrera, La;Total;15 y más años;Educación superior;2024;904
28031 Cadalso de los Vidrios;Total;15 y más años;Educación primaria e inferior;2024;427
28031 Cadalso de los Vidrios;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.143
28031 Cadalso de los Vidrios;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;584
28031 Cadalso de los Vidrios;Total;15 y más años;Educación superior;2024;681
28032 Camarma de Esteruelas;Total;15 y más años;Educación primaria e inferior;2024;612
28032 Camarma de Esteruelas;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;2.050
28032 Camarma de Esteruelas;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.790
28032 Camarma de Esteruelas;Total;15 y más años;Educación superior;2024;2.361
28033 Campo Real;Total;15 y más años;Educación primaria e inferior;2024;737
28033 Campo Real;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.780
28033 Campo Real;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.510
28033 Campo Real;Total;15 y más años;Educación superior;2024;1.625
28035 Carabaña;Total;15 y más años;Educación primaria e inferior;2024;316
28035 Carabaña;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;679
28035 Carabaña;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;519
28035 Carabaña;Total;15 y más años;Educación superior;2024;505
28036 Casarrubuelos;Total;15 y más años;Educación primaria e inferior;2024;304
28036 Casarrubuelos;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.164
28036 Casarrubuelos;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;978
28036 Casarrubuelos;Total;15 y más años;Educación superior;2024;1.054
28037 Cenicientos;Total;15 y más años;Educación primaria e inferior;2024;398
28037 Cenicientos;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;791
28037 Cenicientos;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;404
28037 Cenicientos;Total;15 y más años;Educación superior;2024;301
28038 Cercedilla;Total;15 y más años;Educación primaria e inferior;2024;722
28038 Cercedilla;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.584
28038 Cercedilla;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.615
28038 Cercedilla;Total;15 y más años;Educación superior;2024;2.756
28040 Ciempozuelos;Total;15 y más años;Educación primaria e inferior;2024;4.067
28040 Ciempozuelos;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;7.191
28040 Ciempozuelos;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;5.435
28040 Ciempozuelos;Total;15 y más años;Educación superior;2024;5.542
28041 Cobeña;Total;15 y más años;Educación primaria e inferior;2024;404
28041 Cobeña;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.101
28041 Cobeña;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.606
28041 Cobeña;Total;15 y más años;Educación superior;2024;3.189
28042 Colmenar del Arroyo;Total;15 y más años;Educación primaria e inferior;2024;251
28042 Colmenar del Arroyo;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;451
28042 Colmenar del Arroyo;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;420
28042 Colmenar del Arroyo;Total;15 y más años;Educación superior;2024;617
28043 Colmenar de Oreja;Total;15 y más años;Educación primaria e inferior;2024;1.389
28043 Colmenar de Oreja;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;3.203
