Municipios de 500 habitantes o más;Sexo;Edad;Nivel de estudios;Periodo;Total
28099 Navas del Rey;Total;15 y más años;Educación primaria e inferior;2024;492
28099 Navas del Rey;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;948
28099 Navas del Rey;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;693
28099 Navas del Rey;Total;15 y más años;Educación superior;2024;732
28100 Nuevo Baztán;Total;15 y más años;Educación primaria e inferior;2024;563
28100 Nuevo Baztán;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.704
28100 Nuevo Baztán;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.936
28100 Nuevo Baztán;Total;15 y más años;Educación superior;2024;2.167
28102 Orusco de Tajuña;Total;15 y más años;Educación primaria e inferior;2024;254
28102 Orusco de Tajuña;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;442
28102 Orusco de Tajuña;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;350
28102 Orusco de Tajuña;Total;15 y más años;Educación superior;2024;261
28104 Paracuellos de Jarama;Total;15 y más años;Educación primaria e inferior;2024;1.279
28104 Paracuellos de Jarama;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;3.604
28104 Paracuellos de Jarama;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;4.982
28104 Paracuellos de Jarama;Total;15 y más años;Educación superior;2024;11.380
28106 Parla;Total;15 y más años;Educación primaria e inferior;2024;16.321
28106 Parla;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;43.671
28106 Parla;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;27.721
28106 Parla;Total;15 y más años;Educación superior;2024;23.201
28107 Patones;Total;15 y más años;Educación primaria e inferior;2024;118
28107 Patones;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;136
28107 Patones;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;131
28107 Patones;Total;15 y más años;Educación superior;2024;146
28108 Pedrezuela;Total;15 y más años;Educación primaria e inferior;2024;574
28108 Pedrezuela;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.185
28108 Pedrezuela;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.362
28108 Pedrezuela;Total;15 y más años;Educación superior;2024;2.166
28109 Pelayos de la Presa;Total;15 y más años;Educación primaria e inferior;2024;463
28109 Pelayos de la Presa;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;753
28109 Pelayos de la Presa;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;754
28109 Pelayos de la Presa;Total;15 y más años;Educación superior;2024;701
28110 Perales de Tajuña;Total;15 y más años;Educación primaria e inferior;2024;418
28110 Perales de Tajuña;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;881
28110 Perales de Tajuña;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;723
28110 Perales de Tajuña;Total;15 y más años;Educación superior;2024;704
28111 Pezuela de las Torres;Total;15 y más años;Educación primaria e inferior;2024;105
28111 Pezuela de las Torres;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;301
28111 Pezuela de las Torres;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;203
28111 Pezuela de las Torres;Total;15 y más años;Educación superior;2024;219
28113 Pinto;Total;15 y más años;Educación primaria e inferior;2024;4.758
28113 Pinto;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;13.935
28113 Pinto;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;11.741
28113 Pinto;Total;15 y más años;Educación superior;2024;16.426
28115 Pozuelo de Alarcón;Total;15 y más años;Educación primaria e inferior;2024;4.424
28115 Pozuelo de Alarcón;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;8.665
28115 Pozuelo de Alarcón;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;15.558
28115 Pozuelo de Alarcón;Total;15 y más años;Educación superior;2024;46.977
28116 Pozuelo del Rey;Total;15 y más años;Educación primaria e inferior;2024;98
28116 Pozuelo del Rey;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;348
28116 Pozuelo del Rey;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;299
28116 Pozuelo del Rey;Total;15 y más años;Educación superior;2024;309
28119 Quijorna;Total;15 y más años;Educación primaria e inferior;2024;307
28119 Quijorna;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;808
28119 Quijorna;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;908
28119 Quijorna;Total;15 y más años;Educación superior;2024;1.315
28120 Rascafría;Total;15 y más años;Educación primaria e inferior;2024;235
28120 Rascafría;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;469
28120 Rascafría;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;352
28120 Rascafría;Total;15 y más años;Educación superior;2024;507
28122 Ribatejada;Total;15 y más años;Educación primaria e inferior;2024;93
28122 Ribatejada;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;221
28122 Ribatejada;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;217
28122 Ribatejada;Total;15 y más años;Educación superior;2024;272
28123 Rivas-Vaciamadrid;Total;15 y más años;Educación primaria e inferior;2024;4.963
28123 Rivas-Vaciamadrid;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;15.559
28123 Rivas-Vaciamadrid;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;22.048
28123 Rivas-Vaciamadrid;Total;15 y más años;Educación superior;2024;40.252
28125 Robledo de Chavela;Total;15 y más años;Educación primaria e inferior;2024;471
28125 Robledo de Chavela;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.046
28125 Robledo de Chavela;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.112
28125 Robledo de Chavela;Total;15 y más años;Educación superior;2024;1.580
28127 Rozas de Madrid, Las;Total;15 y más años;Educación primaria e inferior;2024;3.326
28127 Rozas de Madrid, Las;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;8.369
28127 Rozas de Madrid, Las;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;18.019
28127 Rozas de Madrid, Las;Total;15 y más años;Educación superior;2024;53.165
28128 Rozas de Puerto Real;Total;15 y más años;Educación primaria e inferior;2024;93
28128 Rozas de Puerto Real;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;167
28128 Rozas de Puerto Real;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;131
28128 Rozas de Puerto Real;Total;15 y más años;Educación superior;2024;145
28129 San Agustín del Guadalix;Total;15 y más años;Educación primaria e inferior;2024;934
28129 San Agustín del Guadalix;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;2.287
28129 San Agustín del Guadalix;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;2.918
28129 San Agustín del Guadalix;Total;15 y más años;Educación superior;2024;5.396
28130 San Fernando de Henares;Total;15 y más años;Educación primaria e inferior;2024;3.803
28130 San Fernando de Henares;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;10.794
28130 San Fernando de Henares;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;9.859
28130 San Fernando de Henares;Total;15 y más años;Educación superior;2024;9.774
28131 San Lorenzo de El Escorial;Total;15 y más años;Educación primaria e inferior;2024;1.289
28131 San Lorenzo de El Escorial;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;3.238
28131 San Lorenzo de El Escorial;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;4.045
28131 San Lorenzo de El Escorial;Total;15 y más años;Educación superior;2024;7.725
28132 San Martín de la Vega;Total;15 y más años;Educación primaria e inferior;2024;2.612
28132 San Martín de la Vega;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;6.008
28132 San Martín de la Vega;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;4.315
28132 San Martín de la Vega;Total;15 y más años;Educación superior;2024;4.171
28133 San Martín de Valdeiglesias;Total;15 y más años;Educación primaria e inferior;2024;1.296
28133 San Martín de Valdeiglesias;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;2.578
28133 San Martín de Valdeiglesias;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.889
28133 San Martín de Valdeiglesias;Total;15 y más años;Educación superior;2024;2.015
28134 San Sebastián de los Reyes;Total;15 y más años;Educación primaria e inferior;2024;6.917
28134 San Sebastián de los Reyes;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;15.921
28134 San Sebastián de los Reyes;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;19.519
28134 San Sebastián de los Reyes;Total;15 y más años;Educación superior;2024;37.326
28135 Santa María de la Alameda;Total;15 y más años;Educación primaria e inferior;2024;198
28135 Santa María de la Alameda;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;350
28135 Santa María de la Alameda;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;327
28135 Santa María de la Alameda;Total;15 y más años;Educación superior;2024;456
28136 Santorcaz;Total;15 y más años;Educación primaria e inferior;2024;99
28136 Santorcaz;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;285
28136 Santorcaz;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;254
28136 Santorcaz;Total;15 y más años;Educación superior;2024;243
28137 Santos de la Humosa, Los;Total;15 y más años;Educación primaria e inferior;2024;225
28137 Santos de la Humosa, Los;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;738
28137 Santos de la Humosa, Los;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;584
28137 Santos de la Humosa, Los;Total;15 y más años;Educación superior;2024;727
28140 Serranillos del Valle;Total;15 y más años;Educación primaria e inferior;2024;380
28140 Serranillos del Valle;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.253
28140 Serranillos del Valle;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.089
28140 Serranillos del Valle;Total;15 y más años;Educación superior;2024;1.157
28141 Sevilla la Nueva;Total;15 y más años;Educación primaria e inferior;2024;672
28141 Sevilla la Nueva;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;2.040
28141 Sevilla la Nueva;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;2.277
28141 Sevilla la Nueva;Total;15 y más años;Educación superior;2024;3.165
28144 Soto del Real;Total;15 y más años;Educación primaria e inferior;2024;620
28144 Soto del Real;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.407
28144 Soto del Real;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;2.009
28144 Soto del Real;Total;15 y más años;Educación superior;2024;4.144
28145 Talamanca de Jarama;Total;15 y más años;Educación primaria e inferior;2024;410
28145 Talamanca de Jarama;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.034
28145 Talamanca de Jarama;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;990
28145 Talamanca de Jarama;Total;15 y más años;Educación superior;2024;1.305
28146 Tielmes;Total;15 y más años;Educación primaria e inferior;2024;431
28146 Tielmes;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;901
28146 Tielmes;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;549
28146 Tielmes;Total;15 y más años;Educación superior;2024;523
28147 Titulcia;Total;15 y más años;Educación primaria e inferior;2024;223
28147 Titulcia;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;416
28147 Titulcia;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;287
28147 Titulcia;Total;15 y más años;Educación superior;2024;267
28148 Torrejón de Ardoz;Total;15 y más años;Educación primaria e inferior;2024;15.157
28148 Torrejón de Ardoz;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;38.685
28148 Torrejón de Ardoz;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;30.376
28148 Torrejón de Ardoz;Total;15 y más años;Educación superior;2024;35.609
28149 Torrejón de la Calzada;Total;15 y más años;Educación primaria e inferior;2024;787
28149 Torrejón de la Calzada;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;2.668
28149 Torrejón de la Calzada;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;2.238
28149 Torrejón de la Calzada;Total;15 y más años;Educación superior;2024;2.685
28150 Torrejón de Velasco;Total;15 y más años;Educación primaria e inferior;2024;436
28150 Torrejón de Velasco;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.382
28150 Torrejón de Velasco;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.109
28150 Torrejón de Velasco;Total;15 y más años;Educación superior;2024;1.197
28151 Torrelaguna;Total;15 y más años;Educación primaria e inferior;2024;684
28151 Torrelaguna;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.247
28151 Torrelaguna;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.126
28151 Torrelaguna;Total;15 y más años;Educación superior;2024;1.227
28152 Torrelodones;Total;15 y más años;Educación primaria e inferior;2024;979
28152 Torrelodones;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;2.414
28152 Torrelodones;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;4.503
28152 Torrelodones;Total;15 y más años;Educación superior;2024;13.244
28153 Torremocha de Jarama;Total;15 y más años;Educación primaria e inferior;2024;158
28153 Torremocha de Jarama;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;232
28153 Torremocha de Jarama;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;208
28153 Torremocha de Jarama;Total;15 y más años;Educación superior;2024;386
28154 Torres de la Alameda;Total;15 y más años;Educación primaria e inferior;2024;817
28154 Torres de la Alameda;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;2.140
28154 Torres de la Alameda;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.415
28154 Torres de la Alameda;Total;15 y más años;Educación superior;2024;2.254
28155 Valdaracete;Total;15 y más años;Educación primaria e inferior;2024;128
28155 Valdaracete;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;196
28155 Valdaracete;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;112
28155 Valdaracete;Total;15 y más años;Educación superior;2024;148
28156 Valdeavero;Total;15 y más años;Educación primaria e inferior;2024;189
28156 Valdeavero;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;513
28156 Valdeavero;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;403
28156 Valdeavero;Total;15 y más años;Educación superior;2024;407
28157 Valdelaguna;Total;15 y más años;Educación primaria e inferior;2024;136
28157 Valdelaguna;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;331
28157 Valdelaguna;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;236
28157 Valdelaguna;Total;15 y más años;Educación superior;2024;228
28158 Valdemanco;Total;15 y más años;Educación primaria e inferior;2024;138
28158 Valdemanco;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;220
28158 Valdemanco;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;217
28158 Valdemanco;Total;15 y más años;Educación superior;2024;340
28159 Valdemaqueda;Total;15 y más años;Educación primaria e inferior;2024;88
28159 Valdemaqueda;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;284
28159 Valdemaqueda;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;169
28159 Valdemaqueda;Total;15 y más años;Educación superior;2024;196
28160 Valdemorillo;Total;15 y más años;Educación primaria e inferior;2024;1.089
28160 Valdemorillo;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;2.424
28160 Valdemorillo;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;2.950
28160 Valdemorillo;Total;15 y más años;Educación superior;2024;5.532
28161 Valdemoro;Total;15 y más años;Educación primaria e inferior;2024;5.855
28161 Valdemoro;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;18.865
28161 Valdemoro;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;19.388
28161 Valdemoro;Total;15 y más años;Educación superior;2024;25.446
28162 Valdeolmos-Alalpardo;Total;15 y más años;Educación primaria e inferior;2024;244
28162 Valdeolmos-Alalpardo;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;831
28162 Valdeolmos-Alalpardo;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;973
28162 Valdeolmos-Alalpardo;Total;15 y más años;Educación superior;2024;1.668
28163 Valdepiélagos;Total;15 y más años;Educación primaria e inferior;2024;51
28163 Valdepiélagos;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;171
28163 Valdepiélagos;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;141
28163 Valdepiélagos;Total;15 y más años;Educación superior;2024;188
28164 Valdetorres de Jarama;Total;15 y más años;Educación primaria e inferior;2024;570
28164 Valdetorres de Jarama;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.339
28164 Valdetorres de Jarama;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.067
28164 Valdetorres de Jarama;Total;15 y más años;Educación superior;2024;1.375
28165 Valdilecha;Total;15 y más años;Educación primaria e inferior;2024;434
28165 Valdilecha;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;965
28165 Valdilecha;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;709
28165 Valdilecha;Total;15 y más años;Educación superior;2024;600
28166 Valverde de Alcalá;Total;15 y más años;Educación primaria e inferior;2024;73
28166 Valverde de Alcalá;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;183
28166 Valverde de Alcalá;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;120
28166 Valverde de Alcalá;Total;15 y más años;Educación superior;2024;109
28167 Velilla de San Antonio;Total;15 y más años;Educación primaria e inferior;2024;1.070
28167 Velilla de San Antonio;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;3.710
28167 Velilla de San Antonio;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;3.078
28167 Velilla de San Antonio;Total;15 y más años;Educación superior;2024;3.987
28168 Vellón, El;Total;15 y más años;Educación primaria e inferior;2024;292
28168 Vellón, El;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;453
28168 Vellón, El;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;432
28168 Vellón, El;Total;15 y más años;Educación superior;2024;673
28169 Venturada;Total;15 y más años;Educación primaria e inferior;2024;116
28169 Venturada;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;285
28169 Venturada;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;539
28169 Venturada;Total;15 y más años;Educación superior;2024;1.267
28170 Villaconejos;Total;15 y más años;Educación primaria e inferior;2024;601
28170 Villaconejos;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.350
28170 Villaconejos;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;561
28170 Villaconejos;Total;15 y más años;Educación superior;2024;481
28171 Villa del Prado;Total;15 y más años;Educación primaria e inferior;2024;1.283
28171 Villa del Prado;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;2.261
28171 Villa del Prado;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.450
28171 Villa del Prado;Total;15 y más años;Educación superior;2024;1.297
28172 Villalbilla;Total;15 y más años;Educación primaria e inferior;2024;729
28172 Villalbilla;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;3.092
28172 Villalbilla;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;3.699
28172 Villalbilla;Total;15 y más años;Educación superior;2024;6.813
28173 Villamanrique de Tajo;Total;15 y más años;Educación primaria e inferior;2024;136
28173 Villamanrique de Tajo;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;293
28173 Villamanrique de Tajo;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;163
28173 Villamanrique de Tajo;Total;15 y más años;Educación superior;2024;137
28174 Villamanta;Total;15 y más años;Educación primaria e inferior;2024;476
28174 Villamanta;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;803
28174 Villamanta;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;570
28174 Villamanta;Total;15 y más años;Educación superior;2024;583
28175 Villamantilla;Total;15 y más años;Educación primaria e inferior;2024;143
28175 Villamantilla;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;325
28175 Villamantilla;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;332
28175 Villamantilla;Total;15 y más años;Educación superior;2024;524
28176 Villanueva de la Cañada;Total;15 y más años;Educación primaria e inferior;2024;1.419
28176 Villanueva de la Cañada;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;2.733
28176 Villanueva de la Cañada;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;4.970
28176 Villanueva de la Cañada;Total;15 y más años;Educación superior;2024;10.634
28177 Villanueva del Pardillo;Total;15 y más años;Educación primaria e inferior;2024;986
28177 Villanueva del Pardillo;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;2.731
28177 Villanueva del Pardillo;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;3.756
28177 Villanueva del Pardillo;Total;15 y más años;Educación superior;2024;7.486
28178 Villanueva de Perales;Total;15 y más años;Educación primaria e inferior;2024;148
28178 Villanueva de Perales;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;421
28178 Villanueva de Perales;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;417
28178 Villanueva de Perales;Total;15 y más años;Educación superior;2024;471
28179 Villar del Olmo;Total;15 y más años;Educación primaria e inferior;2024;153
28179 Villar del Olmo;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;525
28179 Villar del Olmo;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;527
28179 Villar del Olmo;Total;15 y más años;Educación superior;2024;758
28180 Villarejo de Salvanés;Total;15 y más años;Educación primaria e inferior;2024;1.148
28180 Villarejo de Salvanés;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;2.409
28180 Villarejo de Salvanés;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.657
28180 Villarejo de Salvanés;Total;15 y más años;Educación superior;2024;1.503
28181 Villaviciosa de Odón;Total;15 y más años;Educación primaria e inferior;2024;1.965
28181 Villaviciosa de Odón;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;4.159
28181 Villaviciosa de Odón;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;6.852
28181 Villaviciosa de Odón;Total;15 y más años;Educación superior;2024;12.662
28183 Zarzalejo;Total;15 y más años;Educación primaria e inferior;2024;267
28183 Zarzalejo;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;364
28183 Zarzalejo;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;351
28183 Zarzalejo;Total;15 y más años;Educación superior;2024;586
28901 Lozoyuela-Navas-Sieteiglesias;Total;15 y más años;Educación primaria e inferior;2024;199
28901 Lozoyuela-Navas-Sieteiglesias;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;350
28901 Lozoyuela-Navas-Sieteiglesias;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;300
28901 Lozoyuela-Navas-Sieteiglesias;Total;15 y más años;Educación superior;2024;423
28902 Puentes Viejas;Total;15 y más años;Educación primaria e inferior;2024;76
28902 Puentes Viejas;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;159
28902 Puentes Viejas;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;161
28902 Puentes Viejas;Total;15 y más años;Educación superior;2024;265
28903 Tres Cantos;Total;15 y más años;Educación primaria e inferior;2024;1.695
28903 Tres Cantos;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;4.687
28903 Tres Cantos;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;9.283
28903 Tres Cantos;Total;15 y más años;Educación superior;2024;28.626
